Name,District,Latitude,Longitude,Pegawai_Farmasi,Penolong_Pegawai,Populasi
Bahagian Perkhidmatan Farmasi,Kuantan,3.8284,103.2926,41,0,
Hospital Tengku Ampuan Afzan (HTAA),Kuantan,3.8005722,103.3212384,118,31,
Hospital Sultan Haji Ahmad Shah,Temerloh,3.4526383,102.4532079,81,20,
Hospital Bentong,Bentong,3.5263452,101.9058212,20,12,
Hospital Jengka,Maran,3.771738,102.5519247,10,7,
Hospital Jerantut,Jerantut,3.9289738,102.3599669,18,10,
Hospital Kuala Lipis,Lipis,4.182516,102.0550461,27,12,
Hospital Muadzam Shah,Rompin,3.053700613,103.0906459,10,8,
Hospital Pekan,Pekan,3.501562,103.3787068,17,10,
Hospital Raub,Raub,3.809013,101.8506624,13,9,
Hospital Rompin,Rompin,2.7947662,103.4948223,9,7,
Hospital Sultanah Hajjah Kalsom,Cameron Highlands,4.4669554,101.3914738,8,6,
Hospital Bera,Bera,3.2693071,102.4491213,13,7,
KK Balok,Kuantan,3.9315302,103.3721965,5,4,70576
KK Bandar Kuantan,Kuantan,3.820271262,103.3233238,12,9,103554
KK Beserah,Kuantan,3.850078839,103.3618165,8,6,46232
KK Bukit Goh,Kuantan,3.913257088,103.2573223,3,2,35361
KK Gambang,Kuantan,3.707743049,103.1085138,2,2,24717
KK Indera Mahkota,Kuantan,3.824664017,103.287002,4,4,63057
KK Jaya Gading,Kuantan,3.753755171,103.2040812,5,4,53079
KK Kurnia,Kuantan,3.780071757,103.2860058,4,3,64769
KK Paya Besar,Kuantan,3.789601941,103.2389129,4,4,45933
KK Permatang Badak,Kuantan,3.791506082,103.2674723,1,2,23674
KK Sungai Lembing,Kuantan,3.925414944,103.0725161,2,1,4839
KK UTC Kuantan,Kuantan,3.813374449,103.3246033,2,0,11167
KK Sungai Ular,Kuantan,4.045078332,103.393874,1,2,25234
KK Sungai Soi,Kuantan,3.735189487,103.3168348,13,12,85000
KK Bandar Mentakab,Temerloh,3.481466118,102.3421241,7,7,60917
KK Kerdau,Temerloh,3.575843147,102.3710576,1,1,8079
KK Kuala Krau,Temerloh,3.709782604,102.3655123,2,2,5643
KK Lanchang,Temerloh,3.500042446,102.1853851,2,2,8079
KK Sanggang,Temerloh,3.528716141,102.4236093,1,1,10003
KK Tanjung Lalang,Temerloh,3.467826926,102.3882337,5,2,61173
KK Temerloh,Temerloh,3.445884333,102.4239442,5,4,31292
KK Kuala Tekal,Temerloh,3.616185823,102.3861307,1,2,513
KK Bentong,Bentong,3.540449989,101.9023957,4,2,53792
KK Chemomoi,Bentong,3.265589982,102.2468507,2,2,4066
KK Karak,Bentong,3.418987691,102.0299034,5,6,29421
KK Lurah Bilut,Bentong,3.660585928,101.8911919,2,1,5794
KK Mempaga,Bentong,3.536780431,101.9605109,2,2,11328
KK Simpang Pelangai,Bentong,3.181441229,102.1868822,2,2,4590
KB Bentong,Bentong,3.52897969,101.9045235,1,1,14546
KK Telemong,Bentong,3.29103259,102.0874008,2,1,2442
KK Bandar 32,Bera,3.264134534,102.606938,3,2,27609
KK Bukit Mendi,Bera,3.205469886,102.3054003,1,2,7821
KK Kemayan,Bera,3.138874252,102.3750107,2,2,13534
KK Padang Luas,Bera,3.295734774,102.4616638,2,2,12487
KK Purun,Bera,3.374822742,102.6323272,2,2,12214
KK Triang,Bera,3.251893455,102.4170404,4,4,30740
KK Tembangau,Bera,3.040791313,102.5327041,5,1,11441
KK Kuala Triang,Bera,3.307601693,102.5146366,1,1,4454
KK Ringlet,Cameron Highlands,4.414073154,101.3816606,2,2,6051
KK Kampung Raja,Cameron Highlands,4.571744213,101.4073514,2,1,7606
KK Tanah Rata,Cameron Highlands,4.466943203,101.3908966,2,0,23943
KK Bandar Jerantut,Jerantut,3.935525942,102.3622236,6,5,39420
KK Damak,Jerantut,3.952713522,102.2087681,1,1,8620
KK Jengka 8,Jerantut,3.85506871,102.4921003,2,2,9069
KK Lepar Utara 4,Jerantut,3.909622704,102.8068819,1,1,6106
KK Padang Piol,Jerantut,4.03385095,102.3832541,2,2,5028
KK Sungai Tekam Utara,Jerantut,3.890480399,102.5970741,2,2,11134
KK Jerantut Feri,Jerantut,3.958778609,102.4241185,1,1,6287
KK Kampung Bantal,Jerantut,4.501354829,102.6469142,0,1,1998
KK Kuala Tahan,Jerantut,4.38251172,102.4015759,2,1,3771
KK Kuala Tembeling,Jerantut,4.06658284,102.3180614,1,0,5118
KK Sungai Lekok,Jerantut,3.90127538,102.3306223,1,0,1616
KK Kampung Labu,Jerantut,4.167742207,102.3718671,1,1,2245
KK Benta,Lipis,4.013476962,101.9604766,3,3,9979
KK Bukit Betong,Lipis,4.253447779,101.9205916,1,1,3933
KK Mela,Lipis,4.07392403,102.2690215,1,1,3933
KK Merapoh,Lipis,4.694059095,102.0002062,1,1,8836
KK Padang Tengku,Lipis,4.235804587,101.9882255,3,3,10265
KK Sungai Koyan,Lipis,4.228143843,101.8001106,2,2,13219
KB Lipis (Padang Tengku),Lipis,4.235804587,101.9882255,1,1,10265
KK Pos Betau,Lipis,4.251266672,101.7071634,2,1,9388
KK Chegar Perah,Lipis,4.459956672,101.9363333,1,1,797
KKIA Lipis,Lipis,4.1852,102.0526,0,0,49581
KK Jerkoh,Lipis,4.039103424,101.9578392,1,1,3969
KK Bandar Jengka,Maran,3.766463866,102.5428331,4,4,16217
KK Chenor,Maran,3.47928396,102.5919864,1,2,3428
KK Jengka 2,Maran,3.715422741,102.6124799,2,2,2446
KK Jengka 22,Maran,3.718645709,102.4756503,2,2,1289
KK Maran,Maran,3.584924477,102.7742386,3,3,8048
KK Pekan Awah,Maran,3.493352592,102.5317298,2,2,2188
KK Pekan Tajau,Maran,3.560794159,102.691,2,1,1325
KK Sri Jaya,Maran,3.669573306,102.8868838,2,1,3313
KK Kuala Wau,Maran,3.482861723,102.785515,1,1,211
KK Jengka 7,Maran,3.619211534,102.6149784,1,1,1797
KK Bandar Pekan,Pekan,3.489976169,103.3927695,5,5,50000
KK Chini,Pekan,3.383399041,102.944136,3,2,22667
KK Nenasi,Pekan,3.138837577,103.4378238,2,1,10570
KK Padang Rumbia,Pekan,3.530562049,103.2019024,1,1,6992
KK Peramu Jaya,Pekan,3.546524679,103.3830969,3,2,35330
KK Runchang,Pekan,3.286418387,103.1819542,1,1,24193
KK Kampung Temai,Pekan,3.541593455,103.2269571,1,1,1336
KK RTC Pekan,Pekan,3.531358907,103.46136,0,1,
KK Cheroh,Raub,3.912263934,101.8116555,2,1,2418
